"BehaviorSpace results (NetLogo 6.0.1)"
"Proyecto Tortuga.nlogo"
"experiment"
"11/30/2017 17:41:46:836 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","799","0","94"
"desviacion-velocidad-tortugas-subida","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"duracion-poner","13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,,"13.1",,,
"tortugas-por-minuto","7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,,"7",,,
"probabilidad-fallo-cama","20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"desviacion-duracion-camuflar","2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,,"2.2",,,
"porcentaje-zona-intermarial-alta","43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,
"porcentaje-zona-intermarial-baja","2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,
"tiempo-medicion-cuadrantes","120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,
"probabilidad-fallo-cavar","20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"[steps]","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135","1135"

"[initial & final values]","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas","calcular-cuadrantes","calcular-transectos-berma","calcular-transecto-marea","tortugas-generadas"
,"21.12862010221465","51414.54232977371","96.57477025898078","7896","11.444669222032935","70110.73954060051","101.83792815371763","7973","13.205387563884157","53751.566981127056","107.35171261487051","7938","15.846465076660987","67773.71488924716","104.34419381787802","7925","22.008979273140262","49077.51767842036","104.42773600668338","8041","22.88933844406587","39729.41907300695","103.42522974101921","7937","21.12862010221465","58425.61628383376","104.01002506265664","7975","16.7268242475866","49077.51767842036","94.73684210526315","7837","25.530415956842702","65436.6902378938","101.67084377610693","7828","17.60718341851221","72447.76419195386","103.75939849624059","7830","11.444669222032935","65436.6902378938","102.42272347535506","7928","17.60718341851221","70110.73954060051","102.17209690893901","7836","14.966105905735379","72447.76419195386","105.93149540517962","8048","22.008979273140262","77121.81349466056","100.83542188805346","7940","15.846465076660987","56088.59163248041","103.75939849624059","7893","19.36790176036343","49077.51767842036","99.83291562238931","7931"
